#ts=2026-07-09 14:29:46,rate=6.0
交易所,品种,月差,组合合约,近月到期天数,月差跨度(月),最新价差,价差买/卖,盘口宽(跳),fullcarry,时间贴水,转抛比例,可转抛,_last,_ask,_cap,_stor,_dec
DCE,PG,pg2612-pg2701,SP pg2612&pg2701,172,1,92,90/92,2.0,-55.97,,-1.6437,是,92,92,25.971,30.0,0.0
DCE,PG,pg2611-pg2612,SP pg2611&pg2612,139,1,93,92/94,2.0,-56.48,,-1.6465,是,93,94,26.4825,30.0,0.0
INE,LU,lu2608-lu2609,,22,1,109,109/112,3.0,-65.02,,-1.6763,是,109,112,23.023,42.0,0.0
CFFEX,IM,IM2609-IM2612,,71,3,226.8,225.2/227.4,11.0,-133.46,,-1.6994,是,226.8,227.4,133.4619,0.0,0.0
CZCE,TA,TA610-TA611,SPD TA610&TA611,104,1,80,78/80,1.0,-45.67,,-1.7518,是,80,80,30.668,15.0,0.0
DCE,PG,pg2610-pg2611,SP pg2610&pg2611,110,1,100,100/101,1.0,-57.03,,-1.7534,是,100,101,27.0325,30.0,0.0
DCE,PG,pg2701-pg2702,SP pg2701&pg2702,201,1,100,97/100,3.0,-55.42,,-1.8045,是,100,100,25.4155,30.0,0.0
DCE,PP,pp2610-pp2611,SP pp2610&pp2611,104,1,130,128/130,2.0,-70.7,,-1.8388,是,130,130,40.7,30.0,0.0
CFFEX,IM,IM2607-IM2608,,8,1,83.8,80.0/83.8,19.0,-45.33,,-1.8486,是,83.8,83.8,45.331,0.0,0.0
CZCE,RM,RM609-RM611,SPD RM609&RM611,67,2,110,109/110,1.0,-55.69,,-1.9754,是,110,110,25.685,30.0,0.0
SHFE,BU,bu2609-bu2610,,68,1,144,144/146,2.0,-65.56,,-2.1963,是,144,146,20.5645,45.0,0.0
DCE,PG,pg2608-pg2609,SP pg2608&pg2609,48,1,139,138/139,1.0,-56.0,,-2.482,是,139,139,26.004,30.0,0.0
DCE,PP,pp2608-pp2609,SP pp2608&pp2609,36,1,209,207/209,2.0,-73.07,,-2.8603,是,209,209,43.0705,30.0,0.0
CZCE,PR,PR608-PR609,SPD PR608&PR609,36,1,180,180/182,1.0,-62.54,,-2.878,是,180,182,38.544,24.0,0.0
CZCE,TA,TA608-TA609,SPD TA608&TA609,36,1,138,136/138,1.0,-46.77,,-2.9507,是,138,138,31.768,15.0,0.0
DCE,PP,pp2609-pp2610,SP pp2609&pp2610,67,1,227,227/229,2.0,-71.92,,-3.1562,是,227,229,41.921,30.0,0.0
SHFE,BU,bu2608-bu2609,,39,1,253,250/253,3.0,-66.96,,-3.7786,是,253,253,21.956,45.0,0.0
