#ts=2026-07-09 14:29:46,rate=6.0
交易所,品种,月差,组合合约,近月到期天数,月差跨度(月),最新价差,价差买/卖,盘口宽(跳),fullcarry,时间贴水,转抛比例,可转抛,_last,_ask,_cap,_stor,_dec
CZCE,CJ,CJ701-CJ703,SPD CJ701&CJ703,189,2,40,40/45,1.0,-427.85,-150.0,-0.0935,是,40,45,97.845,180.0,150.0
CZCE,MA,MA609-MA610,SPD MA609&MA610,67,1,7,7/8,1.0,-73.62,,-0.0951,是,7,8,13.618,60.0,0.0
INE,LU,lu2701-lu2702,,175,1,6,4/47,43.0,-62.68,,-0.0957,是,6,47,20.68,42.0,0.0
CZCE,MA,MA612-MA701,SPD MA612&MA701,158,1,8,8/9,1.0,-73.56,,-0.1088,是,8,9,13.5575,60.0,0.0
SHFE,CU,cu2609-cu2610,,68,1,70,70/90,2.0,-575.88,,-0.1216,是,70,90,566.885,9.0,0.0
SHFE,CU,cu2610-cu2611,,98,1,70,40/70,3.0,-575.55,,-0.1216,是,70,70,566.555,9.0,0.0
DCE,L,l2701-l2702,SP l2701&l2702,189,1,10,10/11,1.0,-68.57,,-0.1458,是,10,11,38.566,30.0,0.0
CZCE,OI,OI703-OI705,SPD OI703&OI705,246,2,24,21/24,3.0,-161.1,,-0.149,是,24,24,107.096,54.0,0.0
CZCE,TA,TA702-TA705,SPD TA702&TA705,218,3,20,4/30,13.0,-133.87,,-0.1494,是,20,30,88.869,45.0,0.0
CZCE,FG,FG612-FG701,SPD FG612&FG701,158,1,7,6/7,1.0,-41.75,,-0.1677,是,7,7,5.753,36.0,0.0
CZCE,FG,FG610-FG611,SPD FG610&FG611,104,1,7,7/8,1.0,-41.45,,-0.1689,是,7,8,5.4505,36.0,0.0
SHFE,ZN,zn2701-zn2702,,190,1,25,-20/25,9.0,-145.81,,-0.1715,是,25,25,136.8125,9.0,0.0
DCE,I,i2611-i2612,SP i2611&i2612,127,1,2.5,2.5/3.0,1.0,-13.06,,-0.1914,是,2.5,3.0,4.0645,9.0,0.0
SHFE,BU,bu2701-bu2702,,190,1,13,-8/13,21.0,-63.6,,-0.2044,是,13,13,18.601,45.0,0.0
SHFE,FU,fu2702-fu2703,,204,1,13,13/19,6.0,-58.49,,-0.2222,是,13,19,16.4945,42.0,0.0
CZCE,TA,TA701-TA702,SPD TA701&TA702,189,1,10,10/12,1.0,-44.66,,-0.2239,是,10,12,29.656,15.0,0.0
SHFE,SN,sn2612-sn2701,,159,1,520,250/900,65.0,-2313.86,,-0.2247,是,520,900,2268.86,45.0,0.0
SHFE,PB,pb2701-pb2702,,190,1,25,-55/30,17.0,-110.18,,-0.2269,是,25,30,89.1825,21.0,0.0
DCE,I,i2610-i2611,SP i2610&i2611,104,1,3.0,2.5/3.0,1.0,-13.08,,-0.2293,是,3.0,3.0,4.081,9.0,0.0
CZCE,MA,MA701-MA702,SPD MA701&MA702,189,1,17,16/17,1.0,-73.51,,-0.2313,是,17,17,13.5135,60.0,0.0
CZCE,MA,MA702-MA705,SPD MA702&MA705,218,3,52,18/58,40.0,-220.26,,-0.2361,是,52,58,40.26,180.0,0.0
CZCE,PF,PF701-PF702,SPD PF701&PF702,189,1,18,18/30,6.0,-73.94,,-0.2434,是,18,30,37.939,36.0,0.0
CZCE,PX,PX608-PX609,SPD PX608&PX609,36,1,34,32/34,1.0,-133.22,,-0.2552,是,34,34,43.219,90.0,0.0
DCE,I,i2608-i2609,SP i2608&i2609,36,1,3.5,3.0/3.5,1.0,-13.12,,-0.2668,是,3.5,3.5,4.1167,9.0,0.0
DCE,I,i2612-i2701,SP i2612&i2701,158,1,3.5,3.0/3.5,1.0,-13.05,,-0.2682,是,3.5,3.5,4.0508,9.0,0.0
CZCE,CF,CF703-CF705,SPD CF703&CF705,246,2,65,60/70,2.0,-226.69,,-0.2867,是,65,70,178.695,48.0,0.0
CZCE,PL,PL612-PL701,SPD PL612&PL701,158,1,54,30/54,24.0,-187.68,,-0.2877,是,54,54,37.675,150.0,0.0
CZCE,SF,SF612-SF701,SPD SF612&SF701,158,1,14,14/18,2.0,-45.6,,-0.307,是,14,18,32.098,13.5,0.0
SHFE,SN,sn2610-sn2611,,98,1,790,440/920,48.0,-2317.55,,-0.3409,是,790,920,2272.545,45.0,0.0
CZCE,PL,PL610-PL611,SPD PL610&PL611,104,1,66,66/67,1.0,-188.34,,-0.3504,是,66,67,38.335,150.0,0.0
DCE,EG,eg2612-eg2701,SP eg2612&eg2701,172,1,24,24/26,2.0,-67.17,,-0.3573,是,24,26,22.165,45.0,0.0
SHFE,FU,fu2701-fu2702,,175,1,21,14/21,7.0,-58.64,,-0.3581,是,21,21,16.6375,42.0,0.0
CZCE,PX,PX612-PX701,SPD PX612&PX701,158,1,48,48/50,1.0,-132.21,,-0.3631,是,48,50,42.207,90.0,0.0
DCE,EG,eg2611-eg2612,SP eg2611&eg2612,139,1,25,22/25,3.0,-67.3,,-0.3715,是,25,25,22.3025,45.0,0.0
SHFE,FU,fu2611-fu2612,,113,1,22,18/22,4.0,-58.91,,-0.3734,是,22,22,16.9125,42.0,0.0
INE,BC,bc2609-bc2610,,68,1,210,100/210,11.0,-517.75,,-0.4056,是,210,210,502.755,15.0,0.0
DCE,L,l2612-l2701,SP l2612&l2701,158,1,30,29/30,1.0,-68.73,,-0.4365,是,30,30,38.731,30.0,0.0
CZCE,SF,SF608-SF609,SPD SF608&SF609,36,1,20,18/20,1.0,-45.56,,-0.4389,是,20,20,32.065,13.5,0.0
DCE,Y,y2612-y2701,SP y2612&y2701,158,1,33,31/33,2.0,-74.38,,-0.4437,是,33,33,47.377,27.0,0.0
DCE,EG,eg2610-eg2611,SP eg2610&eg2611,110,1,30,30/31,1.0,-67.47,,-0.4447,是,30,31,22.4675,45.0,0.0
DCE,PP,pp2701-pp2702,SP pp2701&pp2702,189,1,31,31/32,1.0,-69.47,,-0.4462,是,31,32,39.4735,30.0,0.0
DCE,FB,fb2610-fb2611,SP fb2610&fb2611,104,1,17.0,10.0/17.0,14.0,-37.39,,-0.4547,是,17.0,17.0,7.3893,30.0,0.0
CZCE,OI,OI701-OI703,SPD OI701&OI703,189,2,74,74/75,1.0,-161.91,,-0.457,是,74,75,107.91,54.0,0.0
DCE,PP,pp2612-pp2701,SP pp2612&pp2701,158,1,32,31/32,1.0,-69.65,,-0.4594,是,32,32,39.6495,30.0,0.0
CZCE,PR,PR612-PR701,SPD PR612&PR701,158,1,28,14/28,7.0,-60.61,,-0.462,是,28,28,36.608,24.0,0.0
SHFE,SN,sn2609-sn2610,,68,1,1090,1030/1320,29.0,-2323.54,,-0.4691,是,1090,1320,2278.54,45.0,0.0
SHFE,FU,fu2612-fu2701,,144,1,28,25/30,5.0,-58.79,,-0.4763,是,28,30,16.7915,42.0,0.0
CZCE,PX,PX610-PX611,SPD PX610&PX611,104,1,64,62/64,1.0,-132.83,,-0.4818,是,64,64,42.834,90.0,0.0
CZCE,PR,PR611-PR612,SPD PR611&PR612,127,1,32,32/44,6.0,-60.77,,-0.5265,是,32,44,36.773,24.0,0.0
DCE,L,l2611-l2612,SP l2611&l2612,127,1,37,35/37,2.0,-68.93,,-0.5367,是,37,37,38.9345,30.0,0.0
CFFEX,IH,IH2608-IH2609,,43,1,9.0,9.0/10.0,5.0,-16.23,,-0.5544,是,9.0,10.0,16.2327,0.0,0.0
DCE,EG,eg2609-eg2610,SP eg2609&eg2610,77,1,38,37/38,1.0,-67.68,,-0.5615,是,38,38,22.6765,45.0,0.0
DCE,C,c2609-c2611,SP c2609&c2611,67,2,36,36/38,2.0,-61.31,,-0.5872,是,36,38,25.311,36.0,0.0
CZCE,OI,OI611-OI701,SPD OI611&OI701,127,2,98,97/99,2.0,-162.99,,-0.6013,是,98,99,108.988,54.0,0.0
